1,2,3,4,5,6,7,8,9
65.0,100.0,60.0,50.0,65.0,190.0,55.0,85.0,110.0
60.0,65.0,105.0,60.0,95.0,100.0,80.0,40.0,170.0
60.0,60.0,95.0,70.0,85.0,135.0,55.0,35.0,260.0
60.0,50.0,60.0,85.0,60.0,120.0,45.0,95.0,105.0
60.0,70.0,70.0,110.0,55.0,180.0,75.0,65.0,155.0
70.0,65.0,50.0,70.0,70.0,260.0,75.0,70.0,115.0
65.0,60.0,95.0,65.0,70.0,225.0,65.0,85.0,100.0
60.0,50.0,75.0,80.0,80.0,180.0,90.0,65.0,275.0
70.0,55.0,70.0,75.0,65.0,110.0,70.0,65.0,285.0
80.0,75.0,60.0,80.0,75.0,195.0,95.0,85.0,100.0
65.0,70.0,115.0,80.0,65.0,100.0,55.0,85.0,275.0
90.0,55.0,55.0,65.0,85.0,195.0,50.0,45.0,175.0
95.0,65.0,60.0,60.0,85.0,105.0,80.0,70.0,125.0
110.0,100.0,80.0,85.0,80.0,135.0,60.0,55.0,295.0
65.0,75.0,80.0,70.0,50.0,130.0,80.0,65.0,80.0
60.0,50.0,65.0,75.0,60.0,175.0,60.0,100.0,135.0
55.0,65.0,80.0,70.0,70.0,150.0,50.0,65.0,75.0
75.0,65.0,75.0,80.0,95.0,125.0,71.0,75.0,310.0
75.0,65.0,70.0,75.0,65.0,350.0,95.0,55.0,190.0
65.0,70.0,90.0,60.0,70.0,195.0,70.0,70.0,100.0
55.0,75.0,100.0,105.0,75.0,140.0,95.0,70.0,130.0
75.0,70.0,65.0,85.0,70.0,130.0,80.0,85.0,140.0
50.0,90.0,65.0,65.0,65.0,200.0,60.0,75.0,105.0
75.0,90.0,55.0,75.0,65.0,145.0,60.0,75.0,165.0
85.0,90.0,50.0,85.0,70.0,110.0,70.0,75.0,375.0
70.0,60.0,65.0,80.0,80.0,115.0,90.0,75.0,170.0
60.0,65.0,55.0,100.0,95.0,195.0,75.0,60.0,165.0
135.0,65.0,60.0,70.0,70.0,195.0,90.0,60.0,85.0
80.0,80.0,65.0,65.0,75.0,120.0,80.0,60.0,165.0
55.0,45.0,45.0,70.0,60.0,490.0,90.0,75.0,115.0
60.0,75.0,80.0,90.0,60.0,135.0,110.0,65.0,115.0
90.0,70.0,65.0,85.0,150.0,135.0,110.0,90.0,80.0
50.0,120.0,75.0,75.0,85.0,115.0,85.0,50.0,160.0
75.0,125.0,60.0,85.0,50.0,175.0,75.0,60.0,275.0
105.0,95.0,70.0,75.0,80.0,180.0,90.0,95.0,85.0
75.0,100.0,50.0,65.0,45.0,105.0,91.0,60.0,105.0
50.0,85.0,40.0,65.0,60.0,100.0,65.0,60.0,115.0
50.0,85.0,65.0,60.0,100.0,190.0,75.0,80.0,280.0
45.0,115.0,55.0,65.0,70.0,155.0,80.0,60.0,115.0
55.0,65.0,60.0,55.0,50.0,125.0,140.0,80.0,290.0
80.0,95.0,50.0,70.0,55.0,100.0,105.0,65.0,155.0
